,Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,score,VideoAmt,PhotoAmt,AdoptionSpeed,No_name,Pure_breed,desc_length,desc_words,averate_word_length,magnitude
0,2,3,299,0,1,1,7,0,1,1,2,2,2,1,1,100,41326,8480853f516546f6cf33aa88cd76c379,0,0,1.0,2,0,1,359,69,5.202898550724638,0
1,2,1,265,0,1,1,2,0,2,2,3,3,3,1,1,0,41401,3082c7125d8fb66f7dd4bff4192c8b14,0,0,2.0,0,0,1,118,23,5.130434782608695,0
2,1,1,307,0,1,2,7,0,2,2,1,1,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,0,7.0,3,0,1,393,69,5.695652173913044,0
3,1,4,307,0,2,1,2,0,2,1,1,1,2,1,1,150,41401,9238e4f44c71a75282e62f7136c6b240,0,0,8.0,2,0,1,146,25,5.84,0
4,1,1,307,0,1,1,0,0,2,1,2,2,2,1,1,0,41326,95481e953f8aed9ec3d16fc4509537e8,0,0,3.0,2,0,1,390,81,4.814814814814815,0
5,2,3,266,0,2,5,6,0,2,1,2,2,2,1,1,0,41326,22fe332bf9c924d4718005891c63fbed,0,0,2.0,2,1,1,87,18,4.833333333333333,0
6,2,12,264,264,1,1,0,0,2,3,2,2,3,1,1,300,41326,1e0b5a458b5b77f5af581d57ebf570b3,0,0,3.0,1,0,0,400,78,5.128205128205129,0
7,1,0,307,0,2,1,2,7,2,1,2,2,2,1,6,0,41326,1fba5f6e5480946254590d48f9c5198d,0,0,9.0,3,0,1,109,20,5.45,0
8,2,2,265,0,2,6,0,0,2,2,2,2,2,1,1,0,41326,d8af7afece71334473575c9f70daf00d,0,0,6.0,1,1,1,79,13,6.076923076923077,0
9,2,12,265,0,2,1,7,0,2,2,3,3,3,1,1,0,41326,1f3f36e4b18e94855b3e88af0852fdc4,0,0,2.0,4,0,1,232,45,5.155555555555556,0
10,1,2,307,0,1,1,2,7,2,1,2,1,2,1,1,0,41401,9238e4f44c71a75282e62f7136c6b240,0,0,7.0,1,0,1,68,12,5.666666666666667,0
11,2,3,264,0,2,1,2,5,3,3,1,1,2,1,1,50,41326,a9caef3f98e67bfac9093cca79e20b93,0,0,2.0,1,0,1,658,126,5.222222222222222,0
12,1,2,307,0,1,2,5,6,2,3,1,1,2,1,1,0,41326,db784cbcf321e1d8856b312638b94113,0,0,1.0,2,0,1,345,49,7.040816326530612,0
13,2,2,265,0,3,1,6,7,1,2,2,2,3,1,7,0,41326,2c118b2a1d1b4cf1f735089c7c0a07c0,0,0,1.0,1,0,1,507,96,5.28125,0
14,1,3,307,0,2,2,5,7,2,2,3,3,3,1,1,0,41401,b609c40c6c840db208b149a19b856f86,0,0,2.0,2,0,1,485,67,7.2388059701492535,0
15,1,78,218,205,1,1,7,0,2,2,3,3,3,1,1,0,41326,39112c637c80a6055e8ec544416abffe,0,0,2.0,4,0,0,355,68,5.220588235294118,0
16,2,6,266,0,2,2,0,0,1,1,1,1,1,1,1,0,41326,58e3aa0b4b78e8879f81774ede0646fe,0,0,1.0,3,0,1,39,8,4.875,0
17,1,8,307,307,2,2,0,0,2,1,2,1,1,1,1,10,41330,4e3dec1544d1407fce5d65fd0f037e26,0,0,2.0,4,0,0,390,71,5.492957746478873,0
18,1,2,307,0,2,1,0,0,2,1,2,1,2,1,1,0,41401,9238e4f44c71a75282e62f7136c6b240,0,0,8.0,2,0,1,680,139,4.892086330935252,0
19,2,1,266,0,3,1,2,7,1,1,2,2,2,1,5,0,41326,b752f78276215f44581eeb6eea1e63bc,0,0,1.0,4,1,1,529,97,5.453608247422681,0
20,1,12,307,0,2,2,7,0,2,2,2,1,1,1,1,0,41326,a042471e0f43f2cf707104a1a138a7df,0,0,7.0,2,0,1,434,79,5.493670886075949,0
